Section,=,Rectangular CFST,,,,,No of test,=,401,,,,,,,,,,,
Load type ,=,Axial compression with eccentrically indunced moments,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,et (mm),eb (mm),Bending Axis,δo (mm),N Test (kN),Notes
Bradford (LRC_WMe),Zhang et al.,2004,[122],RE3,134.80,174.90,2.93,988.00,319.30,,200.00,68.50,,Cyl,72.00,72.00,y-y,,823.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],RE4,136.40,174.60,2.89,1982.00,319.30,,200.00,68.50,,Cyl,21.00,21.00,y-y,,1588.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],RE5,137.20,176.20,4.82,990.00,316.60,,200.00,68.50,,Cyl,20.00,20.00,y-y,,2058.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],RE6,137.20,175.10,4.83,1980.00,316.60,,200.00,68.50,,Cyl,22.00,22.00,y-y,,1813.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],RE7,125.00,200.50,2.92,919.00,319.30,,200.00,68.50,,Cyl,41.00,41.00,y-y,,1529.00,
Bradford (LRC_WMe),Zhang et al.,2004,[122],RE8,125.10,201.40,2.90,1831.00,319.30,,200.00,68.50,,Cyl,38.00,38.00,y-y,,1548.00,
Bradford (LRC_WMe),Guo,2006,[123],R-K3-2,100.50,200.70,3.62,1800.00,283.60,,200.00,41.80,,Cyl,40.00,40.00,y-y,,1002.30,
Bradford (LRC_WMe),Guo,2006,[123],R-K3-5,99.40,200.40,3.64,1800.00,283.60,,200.00,41.80,,Cyl,30.00,30.00,z-z,,655.20,
Bradford (LRC_WMe),Guo,2006,[123],S-K2-1,149.00,149.00,3.64,450.00,283.60,,200.00,41.80,,Cyl,30.00,30.00,y-y,,1081.90,
Bradford (LRC_WMe),Guo,2006,[123],R-K1-2,99.30,148.90,3.63,450.00,283.60,,200.00,41.80,,Cyl,30.00,30.00,y-y,,856.50,
Bradford (LRC_WMe),Guo,2006,[123],R-K2-2,99.10,200.00,3.66,600.00,283.60,,200.00,41.80,,Cyl,40.00,40.00,y-y,,1036.80,
Bradford (LRC_WMe),Liu Dalin,2004,[124],E01,150.00,150.00,4.18,870.00,550.00,,200.00,56.64,,Cyl,30.00,30.00,y-y,,1678.00,
Bradford (LRC_WMe),Liu Dalin,2004,[124],E02,150.00,150.00,4.18,870.00,550.00,,200.00,65.68,,Cyl,30.00,30.00,y-y,,1850.00,
Bradford (LRC_WMe),Liu Dalin,2004,[124],E03,150.00,150.00,4.18,2170.00,550.00,,200.00,56.64,,Cyl,30.00,30.00,y-y,,1330.00,
