Type,AISC_Manual_Label,W,As (mm2),h (mm),b (mm),t (mm),tdes (mm),fy (MPa),fc (MPa),L (mm),Pno ANN (kN)
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,240,45,4500,2.2089043
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,55,4000,206.75015
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,75,3750,240.9825
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,240,35,2750,86.63709
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,75,3000,336.9583
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,240,35,3000,80.224846
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,65,3000,324.49066
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,35,2500,364.92548
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,240,35,2750,76.425804
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,75,4250,152.51082
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,35,2500,462.2724
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,55,4250,245.7337
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,600,75,2750,417.25977
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,600,35,3250,306.90988
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,45,4250,243.9519
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,75,3250,329.47977
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,240,65,3000,116.98688
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,240,45,2500,107.532135
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,55,3250,304.36502
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,240,65,3000,150.11763
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,45,2750,52.849945
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,75,4000,237.945
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,65,3750,286.19775
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,55,3000,377.30368
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,35,4250,175.83145
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,240,65,3250,160.86005
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,55,3500,292.6899
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,35,4000,238.71426
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,600,45,4500,219.12463
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,55,4250,131.81422
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,75,4250,203.08743
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,75,3500,153.10878
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,65,4250,143.32797
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,55,4250,185.54688
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,55,4000,218.96393
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,45,2500,241.15012
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,65,3500,303.61752
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,45,3750,263.3527
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,600,75,4500,243.66824
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,600,55,2500,428.61694
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,55,2750,423.39563
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,45,3750,302.9995
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,75,3750,311.50848
