Section,=,Rectangular CFST,,,No of tests =,,1003,,,,,,,,,,
Load type ,=,"Axial compression, no moment",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,δo (mm),N Test (kN),Notes
Bradford (SRC_NM),Liu et al.,2003,[37],C1-2,100.60,101.50,4.18,300.00,550.00,,200.00,56.60,,Cyl,,1535.00,
Bradford (SRC_NM),Liu et al.,2003,[37],C2-1,101.10,101.20,4.18,300.00,550.00,,200.00,65.70,,Cyl,,1740.00,
Bradford (SRC_NM),Liu et al.,2003,[37],C2-2,100.40,100.70,4.18,300.00,550.00,,200.00,65.70,,Cyl,,1775.00,
Bradford (SRC_NM),Liu et al.,2003,[37],C3,181.20,182.80,4.18,540.00,550.00,,200.00,56.60,,Cyl,,3590.00,
Bradford (SRC_NM),Liu et al.,2003,[37],C4,180.40,181.80,4.18,540.00,550.00,,200.00,65.70,,Cyl,,4210.00,
Bradford (SRC_NM),Liu Dalin,2005,[127],R1-1,120.00,120.00,4.00,360.00,495.00,,200.00,58.40,,Cyl,,1701.00,
Bradford (SRC_NM),Liu Dalin,2005,[127],R1-2,120.00,120.00,4.00,360.00,495.00,,200.00,58.40,,Cyl,,1657.00,
Bradford (SRC_NM),Liu Dalin,2005,[127],R4-1,130.00,130.00,4.00,390.00,495.00,,200.00,58.40,,Cyl,,2020.00,
Bradford (SRC_NM),Liu Dalin,2005,[127],R4-2,130.00,130.00,4.00,390.00,495.00,,200.00,58.40,,Cyl,,2018.00,
Bradford (SRC_NM),Liu Dalin,2005,[127],R7-1,108.00,108.00,4.00,320.00,495.00,,200.00,77.60,,Cyl,,1749.00,
Bradford (SRC_NM),Liu Dalin,2005,[127],R7-2,108.00,108.00,4.00,320.00,495.00,,200.00,77.60,,Cyl,,1824.00,
Bradford (SRC_NM),Liu Dalin,2005,[127],R10-1,140.00,140.00,4.00,420.00,495.00,,200.00,77.60,,Cyl,,2752.00,
Bradford (SRC_NM),Liu Dalin,2005,[127],R10-2,140.00,140.00,4.00,420.00,495.00,,200.00,77.60,,Cyl,,2828.00,
Bradford (SRC_NM),Liu Dalin,2005,[127],R11-1,125.00,160.00,4.00,480.00,495.00,,200.00,77.60,,Cyl,,2580.00,
Bradford (SRC_NM),Liu Dalin,2005,[127],R11-2,125.00,160.00,4.00,480.00,495.00,,200.00,77.60,,Cyl,,2674.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],43,101.30,101.30,4.97,300.00,347.30,,200.00,49.40,,Cyl,,1310.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],45,103.60,103.60,4.90,300.00,347.30,,200.00,49.40,,Cyl,,1340.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],46,102.00,102.00,4.97,300.00,347.30,,200.00,49.40,,Cyl,,1370.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],23,142.00,142.00,5.11,420.00,347.30,,200.00,49.40,,Cyl,,2160.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],27,142.00,142.00,5.08,420.00,347.30,,200.00,49.40,,Cyl,,2250.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],29,141.40,141.40,5.07,420.00,347.30,,200.00,49.40,,Cyl,,2280.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],96,142.10,142.10,3.02,420.00,255.10,,200.00,44.90,,Cyl,,1360.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],97,142.10,142.10,3.02,420.00,255.10,,200.00,44.90,,Cyl,,1400.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],69,142.10,142.10,2.01,420.00,305.10,,200.00,44.90,,Cyl,,1328.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],70,142.10,142.10,2.01,420.00,305.10,,200.00,44.90,,Cyl,,1364.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],71,140.90,140.90,2.02,420.00,305.10,,200.00,44.90,,Cyl,,1280.00,
