b (mm),h (mm),t (mm),L (mm),fy (MPa),Ea (Gpa),fc (MPa),N Test (kN),short or not,bedistel
120.00,120.00,5.00,500.00,439.00,200.00,96.00,2240.00,yse,no
120.00,120.00,8.00,500.00,323.00,200.00,39.00,1550.00,yse,no
120.00,120.00,8.00,500.00,300.00,200.00,46.00,1670.00,yse,no
120.00,120.00,8.00,500.00,376.00,200.00,47.00,1990.00,yse,no
120.00,120.00,8.00,500.00,323.00,200.00,103.00,2270.00,yse,no
120.00,120.00,8.00,500.00,379.00,200.00,103.00,2680.00,yse,no
120.00,120.00,8.00,500.00,379.00,200.00,39.00,1800.00,yse,no
120.00,120.00,8.00,500.00,364.00,200.00,80.00,2300.00,yse,no
120.00,120.00,8.00,500.00,379.00,200.00,80.00,2290.00,yse,no
120.00,120.00,8.00,500.00,379.00,200.00,31.00,1680.00,yse,no
120.00,120.00,8.00,500.00,379.00,200.00,92.00,2430.00,yse,no
76.60,152.30,3.00,635.00,430.00,190.00,30.50,819.00,yse,no
76.50,152.80,4.47,635.00,383.00,214.00,26.00,1006.00,yse,no
101.80,152.40,4.32,635.00,413.00,215.00,26.00,1144.00,yse,no
102.80,152.70,4.57,635.00,365.00,206.00,23.80,1224.00,yse,no
101.30,151.40,5.72,635.00,324.00,205.00,23.80,1335.00,yse,no
102.10,151.40,7.34,635.00,358.00,205.00,23.80,1691.00,yse,no
127.30,127.30,3.15,635.00,356.00,181.00,30.50,917.00,yse,no
126.90,126.90,4.34,635.00,357.00,190.00,26.00,1095.00,yse,no
126.90,127.00,4.55,635.00,322.00,205.00,23.80,1113.00,yse,no
125.30,126.50,5.67,635.00,312.00,204.00,23.80,1202.00,yse,no
126.80,127.20,7.47,635.00,347.00,205.00,23.80,2069.00,yse,no
125.00,125.00,3.20,500.00,443.00,209.00,94.00,1598.00,yse,no
125.00,125.00,3.20,1000.00,443.00,209.00,94.00,1586.00,yse,no
85.00,130.00,2.86,390.00,228.00,182.00,47.44,760.00,yse,no
85.00,130.00,2.86,390.00,228.00,182.00,47.44,820.00,yse,no
80.00,140.00,2.86,420.00,228.00,182.00,47.44,880.00,yse,no
80.00,140.00,2.86,420.00,228.00,182.00,47.44,740.00,yse,no
100.00,200.00,5.00,2000.00,360.00,229.00,33.40,1242.00,yse,no
100.00,200.00,5.00,2000.00,360.00,229.00,33.40,1242.00,yse,no
100.00,200.00,5.00,2000.00,360.00,229.00,10.00,1062.00,yse,no
100.00,200.00,5.00,2000.00,360.00,229.00,10.00,1022.00,yse,no
200.00,200.00,3.00,2310.00,303.50,206.50,46.80,1986.00,yse,no
200.00,200.00,3.00,2311.00,303.50,206.50,46.80,2045.00,yse,no
200.00,200.00,3.00,2312.00,303.50,206.50,46.80,2280.00,yse,no
200.00,200.00,3.00,2313.00,303.50,206.50,46.80,2173.00,yse,no
200.00,200.00,3.00,2314.00,303.50,206.50,46.80,2258.00,yse,no
150.20,150.20,2.91,1110.00,319.30,200.00,68.50,2352.00,yse,no
151.40,151.40,4.77,1085.00,316.60,200.00,68.50,2597.00,yse,no
134.90,175.70,2.91,993.00,319.30,200.00,68.50,2401.00,yse,no
136.30,176.50,2.91,1980.00,319.30,200.00,68.50,2283.00,yse,no
124.60,199.30,2.92,921.00,319.30,200.00,68.50,2636.00,yse,no
125.90,199.90,2.90,1829.00,319.30,200.00,68.50,2303.00,yse,no
150.10,150.10,2.02,1050.00,217.48,200.00,25.90,800.00,yse,no
147.80,147.80,2.02,1050.00,217.48,200.00,25.90,650.00,yse,no
149.50,149.50,4.31,1050.00,245.54,200.00,40.70,1405.00,yse,no
149.10,149.10,4.31,1050.00,245.54,200.00,40.70,1435.00,yse,no
151.00,151.00,6.92,1050.00,292.31,200.00,25.90,1640.00,yse,no
151.60,151.60,6.92,1050.00,292.31,200.00,25.90,1735.00,yse,no
151.00,151.00,2.02,1550.00,217.48,200.00,34.60,800.00,yse,no
150.20,150.20,2.02,1550.00,217.48,200.00,34.60,850.00,yse,no
151.00,151.00,4.31,1550.00,245.54,200.00,35.40,1250.00,yse,no
149.80,149.80,4.31,1550.00,245.54,200.00,39.00,1350.00,yse,no
150.00,150.00,6.92,1550.00,292.31,200.00,25.90,1700.00,yse,no
149.70,149.70,6.92,1550.00,292.31,200.00,25.90,1700.00,yse,no
100.00,180.00,5.80,540.00,300.00,200.00,74.70,2059.00,yse,no
100.00,180.00,5.80,540.00,300.00,200.00,74.70,2019.00,yse,no
100.00,180.00,5.80,540.00,300.00,200.00,92.00,2287.00,yse,no
100.00,180.00,5.80,540.00,300.00,200.00,92.00,2291.00,yse,no
100.00,180.00,5.80,450.00,300.00,200.00,56.00,1815.00,yse,no
100.00,180.00,5.80,450.00,300.00,200.00,56.00,1763.00,yse,no
100.00,180.00,5.80,540.00,300.00,200.00,56.00,1725.00,yse,no
100.00,180.00,5.80,540.00,300.00,200.00,56.00,1742.00,yse,no
100.00,180.00,5.80,480.00,300.00,200.00,56.00,1947.00,yse,no
100.00,180.00,5.80,480.00,300.00,200.00,56.00,1912.00,yse,no
100.00,180.00,5.80,570.00,300.00,200.00,56.00,2035.00,yse,no
100.00,180.00,5.80,570.00,300.00,200.00,56.00,2138.00,yse,no
80.10,120.70,4.18,360.00,550.00,200.00,56.60,1450.00,yse,no
80.60,119.30,4.18,360.00,550.00,200.00,56.60,1425.00,yse,no
80.60,119.60,4.18,360.00,550.00,200.00,65.70,1560.00,yse,no
80.60,120.50,4.18,360.00,550.00,200.00,65.70,1700.00,yse,no
121.50,179.70,4.18,540.00,550.00,200.00,56.60,2530.00,yse,no
119.80,180.40,4.18,540.00,550.00,200.00,65.70,2970.00,yse,no
121.30,179.20,4.18,540.00,550.00,200.00,65.70,2590.00,yse,no
81.40,160.20,4.18,480.00,550.00,200.00,56.60,1710.00,yse,no
